Documentos de la base de datos:

DOCID, DOC NAME
0, https://es.coppermind.net/wiki/Adonalsium
1, https://es.coppermind.net/wiki/Ambición
2, https://es.coppermind.net/wiki/Armonía
3, https://es.coppermind.net/wiki/Ashyn
4, https://es.coppermind.net/wiki/Astilla
5, https://es.coppermind.net/wiki/Autonomía
6, https://es.coppermind.net/wiki/Bjendal
7, https://es.coppermind.net/wiki/Braize
8, https://es.coppermind.net/wiki/Capricho
9, https://es.coppermind.net/wiki/Cántico
10, https://es.coppermind.net/wiki/Conexión
11, https://es.coppermind.net/wiki/Conservación
12, https://es.coppermind.net/wiki/Cosmere
13, https://es.coppermind.net/wiki/Cultivación
14, https://es.coppermind.net/wiki/Devoción
15, https://es.coppermind.net/wiki/Dhatri
16, https://es.coppermind.net/wiki/Dominio
17, https://es.coppermind.net/wiki/Dotación
18, https://es.coppermind.net/wiki/Eje
19, https://es.coppermind.net/wiki/Esquirla
20, https://es.coppermind.net/wiki/Esquirla del Amanecer
21, https://es.coppermind.net/wiki/Éter
22, https://es.coppermind.net/wiki/Fortuna
23, https://es.coppermind.net/wiki/Fragmentación
24, https://es.coppermind.net/wiki/Hoid
25, https://es.coppermind.net/wiki/Honor
26, https://es.coppermind.net/wiki/Identidad
27, https://es.coppermind.net/wiki/Iniciación
28, https://es.coppermind.net/wiki/Intención
29, https://es.coppermind.net/wiki/Invención
30, https://es.coppermind.net/wiki/Investidura
31, https://es.coppermind.net/wiki/Komashi
32, https://es.coppermind.net/wiki/Lasca
33, https://es.coppermind.net/wiki/Lumar
34, https://es.coppermind.net/wiki/Mandato
35, https://es.coppermind.net/wiki/Más Allá
36, https://es.coppermind.net/wiki/Mythos
37, https://es.coppermind.net/wiki/Nalthis
38, https://es.coppermind.net/wiki/Obrodai
39, https://es.coppermind.net/wiki/Odium
40, https://es.coppermind.net/wiki/Perpendicularidad
41, https://es.coppermind.net/wiki/Piedad
42, https://es.coppermind.net/wiki/Primero del Sol
43, https://es.coppermind.net/wiki/Raciocinio
44, https://es.coppermind.net/wiki/Redespíritu
45, https://es.coppermind.net/wiki/Reino Físico
46, https://es.coppermind.net/wiki/Reino Cognitivo
47, https://es.coppermind.net/wiki/Reino Espiritual
48, https://es.coppermind.net/wiki/Represalia
49, https://es.coppermind.net/wiki/Resonancia
50, https://es.coppermind.net/wiki/Roshar
51, https://es.coppermind.net/wiki/Ruina
52, https://es.coppermind.net/wiki/Scadrial
53, https://es.coppermind.net/wiki/Sel
54, https://es.coppermind.net/wiki/Sombra cognitiva
55, https://es.coppermind.net/wiki/Taldain
56, https://es.coppermind.net/wiki/Teoría Realmática
57, https://es.coppermind.net/wiki/Treno
58, https://es.coppermind.net/wiki/UTol
59, https://es.coppermind.net/wiki/Valentía
60, https://es.coppermind.net/wiki/Vax
61, https://es.coppermind.net/wiki/Virtuosismo
62, https://es.coppermind.net/wiki/Yolen
